month,revenue_billed,cash_collected,collection_rate,accounts_receivable,active_clients,new_clients,headcount,payroll_expense,rent_expense,software_expense,marketing_expense,utilities_expense,misc_expense,one_off_expense,total_operating_expense,gross_profit,net_profit,cash_balance
2021-11-01,587797.47,540773.67,0.92,713039.98,30,3,14,315361.27,45000,24459.89,53479.51,8695.13,11260.12,0.0,458255.92,129541.55,129541.55,1679824.05
01-05-2018,418252.23,390229.33,0.933,343764.08,19,2,10,197601.7,45000,18291.99,26556.43,7759.93,5073.62,0.0,300283.67,117968.56,117968.56,451521.43
2021-03-01,543096.94,467606.47,0.861,782470.27,28,4,13,262624.93,45000,24539.03,34030.72,9149.28,11656.85,0.0,387000.81,156096.13,156096.13,1696835.19
01-07-2024,680668.56,628257.08,0.923,797831.9,40,4,17,403590.55,50000,29870.84,49596.63,9109.98,12960.29,0.0,555128.29,125540.27,125540.27,1250847.56
2018-10-01,443089.35,381943.02,0.862,498871.67,19,5,10,196822.97,45000,,37803.23,8375.34,12787.51,0.0,300789.05,142300.3,142300.3,749854.31
2020-11-01,"₹540,427.64",465848.63,0.862,706481.7,28,1,-13,268877.67,45000,21869.77,51603.51,8636.99,8336.38,0.0,404324.32,136103.32,136103.32,1580312.86
2024-05-01,662995.72,556916.4,0.84,787542.3,39,1,17,398250.59,50000,30608.61,48667.21,9597.43,7731.87,101348.11,646203.82,16791.9,16791.9,1165226.95
2023-12-01,"₹689,871.78",589840.37,0.855,1208216.73,38,3,17,430129.37,50000,27440.73,55843.38,8960.56,,52598.64,624972.68,64899.1,64899.1,1115352.49
"June 01, 2022",589335.77,539242.23,0.915,984859.22,31,3,15,319288.48,50000,25292.97,40761.53,9031.62,8384.56,0.0,452759.16,136576.61,136576.61,1629498.54
2024-10-01,727644.29,681802.7,0.937,664916.22,41,4,18,458056.89,50000,29527.04,69033.07,9118.51,14792.25,0.0,630527.76,97116.53,97116.53,715105.56
2020-01-01,"₹465,653.06",430729.08,0.925,449925.29,25,1,12,239645.74,45000,22151.09,29640.83,8759.73,8103.35,140516.46,493817.2,-28164.14,-28164.14,1224949.35
2022-09-01,574450.82,528494.75,0.92,744971.11,33,5,15,327232.09,50000,25964.01,45402.19,9322.66,12206.96,0.0,470127.91,104322.91,104322.91,1684339.93
2018-06-01,"₹411,690.18",382048.49,0.928,549733.67,20,3,10,192851.6,45000,17423.68,,8134.72,9710.96,0.0,273120.96,138569.22,138569.22,560448.96
"October 01, 2023",665132.21,579330.15,0.871,602771.51,36,2,16,390490.59,50000,27866.58,53232.67,8939.66,13627.65,90980.08,635137.23,29994.98,29994.98,1184708.17
2023-01-01,625949.56,586514.74,0.937,583181.1,35,4,16,373375.11,50000,27575.26,47288.89,9536.5,5045.0,0.0,512820.76,113128.8,113128.8,1340887.53
"August 01, 2019",475783.89,411077.28,0.864,533405.7,24,1,11,234568.93,45000,19410.92,36607.51,,10063.3,0.0,345650.66,130133.23,130133.23,1089384.63
2018-07-01,"₹417,936.29",378232.34,0.905,530086.18,18,2,10,190462.31,45000,17898.75,27318.25,7926.82,13534.03,0.0,302140.16,115796.13,115796.13,636541.14
2022-08-01,613565.75,532575.07,0.868,853662.9,33,2,15,332536.67,50000,25239.72,51040.39,8958.57,8075.35,0.0,475850.7,137715.05,137715.05,1680794.73
2018-01-01,408766.59,382605.53,0.936,324909.61,17,1,10,194524.79,45000,18417.82,32558.92,7702.49,9503.86,0.0,307707.88,101058.71,101058.71,841755.85
2021-09-01,567982.16,511751.93,0.901,686307.42,31,3,14,302411.67,45000,23414.55,38027.48,8593.76,9279.03,0.0,426726.49,141255.67,141255.67,1705331.46
2018-08-01,"₹405,759.12",356662.27,0.879,514467.33,19,3,10,180593.57,45000,18454.24,31084.33,7925.11,13140.2,32725.45,328922.9,76836.22,76836.22,664280.51
2022-01-01,547280.66,454790.23,0.831,429159.81,32,2,14,289021.07,50000,25476.79,37131.53,9194.15,5146.83,,415970.37,131310.29,131310.29,1505433.27
2024-12-01,755824.78,654544.26,0.866,1012701.32,40,3,18,429062.44,50000,30727.84,64148.31,9179.14,12535.05,0.0,595652.78,160172.0,160172.0,699701.14
01-04-2021,511950.8,436694.03,0.853,1008383.55,29,2,13,281425.6,45000,24442.83,33253.82,9078.51,11562.69,30651.58,435415.03,76535.77,76535.77,1698114.19
"September 01, 2018",409759.47,367144.49,0.896,709183.63,21,3,10,194417.83,45000,18314.11,29155.99,7904.82,8015.12,0.0,302807.87,106951.6,106951.6,668700.34
2021-07-01,"₹538,903.61",490941.19,0.911,655393.59,29,3,14,305950.72,45000,24614.63,41894.07,8488.5,5917.21,147603.26,579468.39,-40564.78,-40564.78,1589658.09
2024-01-01,645685.34,588865.03,0.912,657307.24,38,3,17,387114.48,50000,30559.1,38817.66,9782.7,11191.19,122752.49,650217.62,-4532.28,-4532.28,1053999.9
01-09-2024,733961.17,658363.17,0.897,965755.16,41,4,18,442167.82,50000,30027.23,57647.45,9684.91,12829.6,0.0,602357.01,131604.16,131604.16,663830.62
2019-03-01,440145.84,365321.05,0.83,732632.73,20,1,11,220905.93,45000,19373.72,33805.84,8074.99,,0.0,327160.48,112985.36,112985.36,876248.98
2022-10-01,646716.78,556823.15,0.861,959925.65,33,4,15,344041.75,50000,26084.97,60197.72,9375.85,14845.78,0.0,504546.07,142170.71,142170.71,1736617.01
2019-12-01,"₹496,650.80",465361.8,0.937,672312.12,25,3,12,250703.71,45000,19798.69,43962.36,8371.54,13674.91,0.0,381511.21,115139.59,115139.59,1270056.89
2023-08-01,"₹663,469.48",616363.15,0.929,660504.8,35,2,16,366563.15,50000,27363.03,50638.02,9614.28,10127.32,0.0,514305.8,149163.68,149163.68,1341914.54
2020-02-01,465857.34,402966.6,0.865,574485.04,26,1,12,236806.37,45000,21288.63,29985.39,8142.71,10911.44,0.0,352134.54,113722.8,113722.8,1275781.41
2023-09-01,627639.07,539769.6,0.86,879877.91,36,2,16,364858.21,50000,27928.19,45756.27,9100.06,5509.6,76140.53,579292.86,48346.21,48346.21,1240515.25
2021-12-01,589221.78,553279.25,0.939,760647.46,31,5,14,295777.12,45000,24032.44,56563.76,8601.56,13373.82,0.0,443348.7,145873.08,145873.08,1466613.41
